image,resolution,algorithm,execution time (s)
book,324x216,swnlm,45.538
book,324x216,cnlm,1.782
book,324x216,swnlm-cuda,0.32
book,324x216,cnlm-cuda,0.04
book,648x432,swnlm,182.21
book,648x432,cnlm,7.154
book,648x432,swnlm-cuda,1.272
book,648x432,cnlm-cuda,0.158
book,1296x864,swnlm,729.619
book,1296x864,cnlm,28.614
book,1296x864,swnlm-cuda,5.09
book,1296x864,cnlm-cuda,0.623
book,2592x1728,swnlm,2920.597
book,2592x1728,cnlm,114.4
book,2592x1728,swnlm-cuda,20.407
book,2592x1728,cnlm-cuda,2.538
toy,324x216,swnlm,45.515
toy,324x216,cnlm,1.791
toy,324x216,swnlm-cuda,0.33
toy,324x216,cnlm-cuda,0.041
toy,648x432,swnlm,182.014
toy,648x432,cnlm,7.159
toy,648x432,swnlm-cuda,1.262
toy,648x432,cnlm-cuda,0.159
toy,1296x864,swnlm,729.812
toy,1296x864,cnlm,28.604
toy,1296x864,swnlm-cuda,5.145
toy,1296x864,cnlm-cuda,0.66
toy,2592x1728,swnlm,2922.723
toy,2592x1728,cnlm,114.444
toy,2592x1728,swnlm-cuda,20.307
toy,2592x1728,cnlm-cuda,2.547
water,324x216,swnlm,45.557
water,324x216,cnlm,1.789
water,324x216,swnlm-cuda,0.314
water,324x216,cnlm-cuda,0.039
water,648x432,swnlm,182.294
water,648x432,cnlm,7.16
water,648x432,swnlm-cuda,1.254
water,648x432,cnlm-cuda,0.157
water,1296x864,swnlm,730.536
water,1296x864,cnlm,28.59
water,1296x864,swnlm-cuda,4.997
water,1296x864,cnlm-cuda,0.622
water,2592x1728,swnlm,2922.537
water,2592x1728,cnlm,114.428
water,2592x1728,swnlm-cuda,20.201
water,2592x1728,cnlm-cuda,2.537